Country,Yield Int 2040,Food Self Sufficiency in 2040,Change in Food Self Sufficiency in 2040,Code,ISO,Legend - Change in Self-Sufficiency,Legend - Self-Sufficiency,Legend - Yield Intensity,yield int category
Denmark,0.928,0.972561229,0.002738256,347.2,DNK,Between -0.01 and 0.01,Between 0.95 and 1.05,Greater than 0.8,7
Djibouti,0.549,0.048204624,0.000259418,1.58,DJI,Between -0.01 and 0.01,Less than 0.25,Between 0.5 and 0.6,4
Dominican Republic,0.619,0.78622807,-0.00262709,64.05,DOM,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.6 and 0.7,5
Ecuador,0.514,1.035868626,0.03125061,100.5,ECU,Greater than 0.03,Between 0.95 and 1.05,Between 0.5 and 0.6,4
Egypt,0.788,0.492410857,-0.006284795,284.9,EGY,Between -0.01 and 0.01,Between 0.25 and 0.5,Between 0.7 and 0.8,6
El Salvador,0.633,0.728608752,-0.005483635,25.14,SLV,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
Equatorial Guinea,0.368,0.528653295,0.00318923,15.4,GNQ,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.3 and 0.4,2
Eritrea,0.209,0.764110287,0.003346791,3.87,ERI,Between -0.01 and 0.01,Between 0.75 and 0.95,Less than 0.3,1
Estonia,0.499,1.905840886,0.015348104,26.36,EST,Between 0.01 and 0.03,Greater than 1.75,Between 0.4 and 0.5,3
Eswatini,0.709,0.761018519,-0.013011056,3.84,SWZ,Between -0.03 and -0.01,Between 0.75 and 0.95,Between 0.7 and 0.8,6
Ethiopia,0.423,0.788157454,-0.00841469,49.86,ETH,Between -0.01 and 0.01,Between 0.75 and 0.95,Between 0.4 and 0.5,3
Fiji,0.625,0.705945559,-0.022392509,4.17,FJI,Between -0.03 and -0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
Finland,0.641,0.737477148,-0.000387815,276.3,FIN,Between -0.01 and 0.01,Between 0.5 and 0.75,Between 0.6 and 0.7,5
France,0.876,0.957750132,-0.001080555,2902,FRA,Between -0.01 and 0.01,Between 0.95 and 1.05,Greater than 0.8,7
